<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GC;D;240423;000000;2315.9;2345.8;2304.6;2340.9;215044
GC;D;240424;000000;2341.1;2350.9;2316.4;2324.7;177391
GC;D;240425;000000;2324.9;2357.6;2323.8;2346.7;198649
GC;D;240426;000000;2346.9;2364.4;2340.2;2349.6;143988
GC;D;240429;000000;2347.6;2358.9;2331;2340.4;193835
GC;D;240430;000000;2340.6;2340.8;2292.8;2294.3;209839
GC;D;240501;000000;2294.2;2339.5;2291.7;2328.7;199024
GC;D;240502;000000;2328.8;2330.3;2294.3;2311.2;160803
GC;D;240503;000000;2311.3;2330.7;2285.2;2310.1;188121
GC;D;240506;000000;2312.8;2341.9;2300.6;2333.3;187038
GC;D;240507;000000;2333.3;2333.5;2314.1;2324.7;132729
GC;D;240508;000000;2324.7;2329.6;2311.4;2319.4;146584
GC;D;240509;000000;2319.3;2362.8;2312.9;2360.2;207673
GC;D;240510;000000;2360.3;2385.3;2358;2366.9;173945
GC;D;240513;000000;2369.1;2370.8;2337.6;2348.7;200761
GC;D;240514;000000;2348.7;2366.8;2341.6;2365.8;167676
GC;D;240515;000000;2366;2402.7;2357.1;2393.2;239136
GC;D;240516;000000;2393.4;2398.8;2375.2;2381.7;154930
GC;D;240517;000000;2381.6;2427.4;2380.3;2419.8;176605
GC;D;240520;000000;2422.2;2454.2;2408.5;2417;286791
GC;D;240521;000000;2416.9;2438.2;2412.1;2417.5;176877
GC;D;240522;000000;2417.3;2422.9;2368.4;2374.6;225117
GC;D;240523;000000;2374.4;2375.8;2326.3;2331.6;232330
GC;D;240524;000000;2331.6;2349;2331.6;2335.2;121003
GC;D;240527;000000;2338;2360;2333.8;2352;115645
GC;D;240528;000000;2351.9;2365.5;2340.8;2359;138845
GC;D;240529;000000;2359.1;2361.8;2334.2;2355.7;72948
GC;D;240530;000000;2355.6;2373.7;2343.3;2364.8;149619
GC;D;240531;000000;2364.8;2381.2;2341.1;2347.7;154276
GC;D;240603;000000;2348;2375.5;2334.8;2366;179110
GC;D;240604;000000;2366;2372;2335.1;2357.1;166200
GC;D;240605;000000;2357.2;2394.6;2347.8;2387.9;180721
GC;D;240606;000000;2387.8;2400.6;2372.2;2398.9;153450
GC;D;240607;000000;2398.9;2406.7;2304.2;2311.1;273120
GC;D;240610;000000;2311;2331.3;2304.5;2320.6;158627
GC;D;240611;000000;2320.5;2337.3;2314.5;2330.6;130911
